StockCode,Description,TotalQuantity,AvgQuantity,StdQuantity,FirstSale,LastSale,DaysActive,DailyTurnover
16169K,Wrap Folk Art,200,25.0,0.0,2010-12-06 15:54:00,2011-09-28 16:07:00,296,0.68
16169M,Wrap Daisy Carpet,660,25.38,5.82,2011-01-05 13:40:00,2011-12-02 10:22:00,330,2.0
16169N,Wrap Blue Russian Folkart,25,25.0,,2010-12-06 12:06:00,2010-12-06 12:06:00,0,inf
16169P,Wrap Green Russian Folkart,50,25.0,0.0,2010-12-10 11:24:00,2010-12-19 11:35:00,9,5.56
16202A,Pastel Pink Photo Album,7,3.5,0.71,2011-03-11 14:35:00,2011-04-17 13:43:00,36,0.19
16202B,Pastel Blue Photo Album,29,14.5,13.44,2011-04-17 13:43:00,2011-04-19 14:49:00,2,14.5
16202E,Black Photo Album,15,5.0,4.36,2011-04-04 16:36:00,2011-04-17 13:43:00,12,1.25
16206B,Red Purse With Pink Heart,7,3.5,2.12,2010-12-23 16:06:00,2011-01-26 12:29:00,33,0.21
16207A,Pink Strawberry Handbag,13,2.6,1.95,2010-12-19 14:41:00,2011-11-06 16:14:00,322,0.04
16207B,Pink Heart Red Handbag,4,1.33,0.58,2011-01-11 12:41:00,2011-08-30 10:49:00,230,0.02
16216,Letter Shape Pencil Sharpener,3316,80.88,246.91,2010-12-12 13:47:00,2011-12-07 12:41:00,359,9.24
16218,Cartoon  Pencil Sharpeners,3760,75.2,73.41,2010-12-12 12:08:00,2011-12-06 11:33:00,358,10.5
16219,House Shape Pencil Sharpener,2915,62.02,107.36,2010-12-16 14:34:00,2011-12-01 12:01:00,349,8.35
16225,Rattle Snake Eggs,762,9.9,23.75,2010-12-12 10:48:00,2011-12-08 20:01:00,361,2.11
16235,Recycled Pencil With Rabbit Eraser,2665,32.9,72.28,2010-12-02 12:16:00,2011-12-07 12:41:00,370,7.2
16236,Kitty Pencil Erasers,1296,17.75,19.54,2010-12-10 11:24:00,2011-12-08 11:43:00,363,3.57
16237,Sleeping Cat Erasers,4598,27.21,35.45,2010-12-01 11:41:00,2011-12-08 19:57:00,372,12.36
16238,Party Time Pencil Erasers,1261,15.76,16.46,2010-12-01 11:45:00,2011-12-08 11:43:00,371,3.4
16244B,Maxwell 2 Tone Blue 60 Page Photo A,7,3.5,0.71,2011-04-26 16:45:00,2011-05-11 15:16:00,14,0.5
16248B,Blue Hole Punch,13,1.86,0.9,2011-03-07 17:52:00,2011-10-30 15:55:00,236,0.06
16254,Transparent Acrylic Tape Dispenser,31,3.44,4.85,2011-06-15 11:56:00,2011-11-30 14:17:00,168,0.18
16258A,Swirly Circular Rubbers In Bag,445,11.71,14.18,2010-12-01 12:23:00,2011-12-08 09:39:00,371,1.2
16259,Piece Of Camo Stationery Set,3380,109.03,70.58,2011-03-17 15:03:00,2011-11-13 11:55:00,240,14.08
17001,Heavens Scent Fragrance Oils Asstd,72,72.0,,2011-02-28 14:48:00,2011-02-28 14:48:00,0,inf
17003,Brocade Ring Purse,22963,109.87,203.57,2010-12-01 16:33:00,2011-12-08 11:25:00,371,61.89
17007B,S/3 Pot Pouri Cushions Blue Colours,24,12.0,0.0,2010-12-06 13:01:00,2011-06-08 14:35:00,184,0.13
17011F,Origami Sandlewood Incense+Flower,80,13.33,11.83,2010-12-16 16:45:00,2011-05-19 12:10:00,153,0.52
17012A,Origami Vanilla Incense/Candle Set,270,10.8,9.57,2010-12-15 15:34:00,2011-12-02 14:25:00,351,0.77
17012B,Origami Jasmine Incense/Candle Set,455,12.64,17.59,2010-12-10 12:33:00,2011-11-30 14:17:00,355,1.28
17012C,Origami Lavender Incense/Candl Set,363,8.25,15.52,2010-12-15 15:00:00,2011-12-08 12:50:00,357,1.02
17012D,Origami Rose Incense/Candle Set,387,8.41,9.4,2010-12-10 12:33:00,2011-12-08 12:50:00,363,1.07
17012E,Origami Opium Incense/Candle Set,59,14.75,10.69,2010-12-10 12:33:00,2010-12-15 15:34:00,5,11.8
17012F,Origami Sandlewood Incense/Cand Set,365,8.69,9.34,2010-12-10 12:33:00,2011-12-08 19:24:00,363,1.01
17013D,Origami Rose Incense In Tube,532,48.36,45.76,2010-12-14 16:39:00,2011-06-07 10:05:00,174,3.06
17014A,Origami Vanilla Incense Cones,154,22.0,33.5,2010-12-15 15:34:00,2011-06-27 13:58:00,193,0.8
17021,Namaste Swagat Incense,2427,42.58,109.05,2010-12-01 12:12:00,2011-12-05 12:59:00,369,6.58
17028J,Incense Bazaar Peach,6,6.0,,2011-01-31 15:27:00,2011-01-31 15:27:00,0,inf
17038,Porcelain Budah Incense Holder,1501,79.0,50.55,2010-12-07 13:50:00,2011-11-24 12:48:00,351,4.28
17084A,Tranquility Masala Incense,200,28.57,9.45,2011-01-31 15:27:00,2011-09-13 14:53:00,224,0.89
17084J,Love Potion Masala Incense,225,28.12,8.84,2010-12-07 14:30:00,2011-09-13 14:53:00,280,0.8
17084N,Fairy Dreams Incense,1025,32.03,13.07,2010-12-09 14:50:00,2011-12-08 19:24:00,364,2.82
17084P,Dragons Blood Incense,349,26.85,6.96,2010-12-09 14:50:00,2011-11-10 12:01:00,335,1.04
17084R,Assorted Incense Pack,4032,149.33,261.84,2010-12-03 11:48:00,2011-12-05 12:30:00,367,10.99
17090A,Lavender Incense 40 Cones In Tin,109,10.9,13.48,2010-12-02 13:11:00,2011-11-24 10:24:00,356,0.31
17090D,Vanilla Incense 40 Cones In Tin,29,2.23,2.17,2010-12-02 13:11:00,2011-07-11 11:38:00,220,0.13
17091A,Lavender Incense In Tin,172,6.62,8.51,2010-12-01 11:21:00,2011-05-18 11:58:00,168,1.02
17091J,Vanilla Incense In Tin,2066,22.7,23.71,2010-12-03 11:48:00,2011-12-09 11:20:00,370,5.58
17096,Assorted Laquered Incense Holders,2516,193.54,466.82,2010-12-12 12:03:00,2011-07-19 15:30:00,219,11.49
17107D,"Flower Fairy,5 Summer B'Draw Liners",171,3.64,2.55,2010-12-03 12:24:00,2011-12-05 15:51:00,367,0.47
17109D,Flower Fairy Incense Bouquet,61,12.2,14.5,2010-12-05 10:45:00,2011-04-21 12:34:00,137,0.45
17129F,Blue Glass Gems In Bag,427,22.47,23.61,2011-03-14 13:04:00,2011-11-10 12:37:00,240,1.78
17136A,Blue Stones On Wire For Candle,404,20.2,20.16,2011-02-01 13:25:00,2011-11-03 18:49:00,275,1.47
17164B,Ass Col Small Sand Gecko P'Weight,29,2.9,2.77,2010-12-01 12:54:00,2011-01-26 14:51:00,56,0.52
17165D,Ass Col Large Sand Frog P'Weight,27,3.86,1.86,2010-12-10 11:01:00,2011-01-12 15:22:00,33,0.82
17174,Asstd Rasta Key-Chains,9,3.0,2.0,2011-01-16 13:04:00,2011-11-24 15:01:00,312,0.03
17191A,Rose Flower Candle+Incense 16X16Cm,4,2.0,0.0,2011-11-13 11:39:00,2011-12-04 10:51:00,20,0.2
18007,Essential Balm 3.5G Tin In Envelope,5856,325.33,907.85,2010-12-06 10:18:00,2011-07-19 17:04:00,225,26.03
18094C,White And Blue Ceramic Oil Burner,134,8.93,6.02,2010-12-06 13:47:00,2011-10-07 13:17:00,304,0.44
18097A,Pink Tall Porcelain T-Light Holder,5,1.25,0.5,2010-12-02 13:49:00,2011-06-22 16:16:00,202,0.02
18097C,White Tall Porcelain T-Light Holder,673,12.02,38.68,2010-12-02 13:49:00,2011-11-18 12:47:00,350,1.92
18098C,Porcelain Butterfly Oil Burner,193,5.08,7.79,2010-12-05 15:40:00,2011-08-08 13:11:00,245,0.79
20615,Blue Polkadot Passport Cover,231,6.6,7.9,2010-12-02 19:18:00,2011-12-08 20:01:00,371,0.62
20616,Cherry Blossom Passport Cover,134,5.36,10.32,2010-12-01 14:41:00,2011-12-08 20:01:00,372,0.36
20617,First Class Passport Cover,66,2.54,2.02,2010-12-14 14:15:00,2011-11-28 13:37:00,348,0.19
20618,Queen Of The Skies Passport Cover,68,2.43,2.49,2010-12-08 12:46:00,2011-12-06 16:21:00,363,0.19
20619,Tropical Passport Cover,142,6.45,10.65,2010-12-16 17:43:00,2011-11-28 15:54:00,346,0.41
20622,Vippassport Cover,163,4.94,8.88,2010-12-14 11:48:00,2011-11-28 11:18:00,348,0.47
20652,Blue Polkadot Luggage Tag,150,4.17,4.64,2010-12-03 14:54:00,2011-12-08 20:01:00,370,0.41
20653,Cherry Blossom Luggage Tag,33,5.5,5.39,2011-03-10 12:48:00,2011-12-05 17:17:00,270,0.12
20654,First Class Luggage Tag,105,4.38,4.36,2010-12-10 11:01:00,2011-12-04 13:32:00,359,0.29
20655,Queen Of Skies Luggage Tag,89,2.62,3.06,2010-12-05 15:12:00,2011-12-04 13:32:00,363,0.25
20657,Tropical Luggage Tag,61,2.77,3.18,2010-12-03 14:54:00,2011-11-07 10:58:00,338,0.18
20658,Red Retrospot Luggage Tag,328,5.29,6.59,2010-12-03 14:54:00,2011-09-26 13:57:00,296,1.11
20659,Economy Luggage Tag,95,2.97,3.17,2010-12-05 15:12:00,2011-12-06 13:20:00,365,0.26
20661,Blue Polkadot Purse,9,1.8,1.79,2010-12-03 14:54:00,2011-10-31 14:09:00,331,0.03
20662,First Class Holiday Purse,11,2.2,2.17,2011-01-12 12:31:00,2011-10-24 17:07:00,285,0.04
20663,Queen Of The Skies Holiday Purse,3,1.0,0.0,2010-12-12 16:14:00,2011-10-17 13:31:00,308,0.01
20664,Tropical Holiday Purse,6,2.0,1.0,2010-12-12 12:08:00,2010-12-21 17:16:00,9,0.67
20665,Red Retrospot Purse,340,4.66,2.57,2010-12-02 15:46:00,2011-10-21 12:05:00,322,1.06
20666,Economy Holiday Purse,4,1.0,0.0,2010-12-12 12:26:00,2011-04-10 11:35:00,118,0.03
20667,Cherry Blossom Purse,1,1.0,,2011-05-31 11:39:00,2011-05-31 11:39:00,0,inf
20668,Disco Ball Christmas Decoration,12714,67.63,117.53,2010-12-01 10:19:00,2011-12-09 10:51:00,373,34.09
20669,Red Heart Luggage Tag,195,4.15,4.7,2010-12-01 11:45:00,2011-11-27 14:40:00,361,0.54
20670,Vip Holiday Purse,8,1.33,0.52,2010-12-12 12:08:00,2011-11-15 16:38:00,338,0.02
20671,Blue Teatime Print Bowl,10,5.0,4.24,2010-12-05 13:55:00,2010-12-09 13:34:00,3,3.33
20674,Green Polkadot Bowl,1373,9.03,12.8,2010-12-02 11:21:00,2011-12-08 15:31:00,371,3.7
20675,Blue Polkadot Bowl,2729,12.08,19.28,2010-12-02 12:47:00,2011-12-08 15:31:00,371,7.36
20676,Red Retrospot Bowl,4363,14.35,20.72,2010-12-02 11:21:00,2011-12-08 15:31:00,371,11.76
20677,Pink Polkadot Bowl,3159,14.1,21.48,2010-12-02 12:50:00,2011-12-08 15:31:00,371,8.51
20678,Large Black Diamante Hairslide,4,4.0,,2011-09-23 14:49:00,2011-09-23 14:49:00,0,inf
20679,Edwardian Parasol Red,1630,6.01,11.93,2010-12-01 09:02:00,2011-12-08 15:54:00,372,4.38
20681,Pink Polkadot Childrens Umbrella,125,3.68,2.6,2010-12-02 19:59:00,2011-03-10 13:58:00,97,1.29
20682,Red Retrospot Childrens Umbrella,1140,6.23,8.49,2010-12-01 17:35:00,2011-12-07 15:02:00,370,3.08
20684,Strawberry Dream Childs Umbrella,78,2.36,2.03,2010-12-05 12:13:00,2011-07-22 10:52:00,228,0.34
20685,Doormat Red Retrospot,3901,6.74,21.35,2010-12-01 11:41:00,2011-12-09 12:49:00,373,10.46
20686,Dolly Mixture Children'S Umbrella,255,3.92,4.33,2010-12-05 12:00:00,2011-12-08 13:50:00,368,0.69
20694,Floral Pink Monster,36,3.27,2.33,2011-02-07 11:20:00,2011-10-31 13:58:00,266,0.14
20695,Floral Blue Monster,5,1.25,0.5,2010-12-08 15:17:00,2011-11-17 15:08:00,343,0.01
20696,Floral Soft Car Toy,32,3.2,2.04,2010-12-17 11:30:00,2011-11-04 15:08:00,322,0.1
20697,Little Green Monster Soft Toy,19,1.73,0.79,2010-12-03 17:28:00,2011-11-23 12:20:00,354,0.05
20698,Little Pink Monster Soft Toy,16,2.0,0.76,2011-01-11 12:41:00,2011-11-23 12:20:00,315,0.05
20699,Mousey Long Legs Soft Toy,29,2.64,2.2,2010-12-03 17:28:00,2011-12-05 17:36:00,367,0.08
20700,Green Cat Floral Cushion Cover,10,2.5,1.73,2010-12-21 16:06:00,2011-06-20 13:27:00,180,0.06
20701,Pink Cat Floral Cushion Cover,6,2.0,1.73,2010-12-23 16:06:00,2011-06-20 13:27:00,178,0.03
20702,Pink Padded Mobile,128,3.12,2.43,2010-12-05 13:42:00,2011-10-26 13:07:00,324,0.4
20703,Blue Padded Soft Mobile,1,1.0,,2011-04-14 11:45:00,2011-04-14 11:45:00,0,inf
20704,Mr Robot Soft Toy,211,5.41,4.99,2010-12-13 15:44:00,2011-12-09 10:46:00,360,0.59
20705,Mrs Robot Soft Toy,143,5.11,5.27,2010-12-14 12:59:00,2011-12-06 12:19:00,356,0.4
20707,Crazy Daisy Heart Decoration,155,5.0,5.53,2010-12-01 12:43:00,2011-12-05 17:17:00,369,0.42
20711,Jumbo Bag Toys,4198,17.0,48.11,2010-12-01 14:11:00,2011-11-28 09:40:00,361,11.63
20712,Jumbo Bag Woodland Animals,8187,16.47,33.3,2010-12-01 13:04:00,2011-12-08 11:43:00,371,22.07
20713,Jumbo Bag Owls,10466,24.86,58.24,2010-12-01 11:45:00,2011-12-09 12:19:00,373,28.06
20716,Party Food Shopper Bag,314,8.97,16.62,2010-12-08 12:06:00,2011-06-29 11:46:00,202,1.55
20717,Strawberry Shopper Bag,2036,8.63,14.92,2010-12-01 11:45:00,2011-12-08 20:01:00,372,5.47
20718,Red Retrospot Shopper Bag,4264,10.93,17.41,2010-12-02 15:18:00,2011-12-09 10:10:00,371,11.49
20719,Woodland Charlotte Bag,9237,16.92,30.65,2010-12-02 15:19:00,2011-12-08 15:09:00,370,24.96
20723,Strawberry Charlotte Bag,6847,13.69,22.74,2010-12-01 09:37:00,2011-12-07 12:33:00,371,18.46
20724,Red Retrospot Charlotte Bag,12809,17.06,30.86,2010-12-02 14:47:00,2011-12-09 10:10:00,371,34.53
20725,Lunch Bag Red Retrospot,17897,13.59,22.17,2010-12-01 09:37:00,2011-12-09 12:23:00,373,47.98
20726,Lunch Bag Woodland,9115,10.83,19.07,2010-12-01 11:21:00,2011-12-08 20:01:00,372,24.5
20727,Lunch Bag  Black Skull.,11291,10.22,16.82,2010-12-01 11:29:00,2011-12-09 11:34:00,373,30.27
20728,Lunch Bag Cars Blue,10820,10.94,18.5,2010-12-01 11:29:00,2011-12-07 16:47:00,371,29.16
20731,Posy Candy Bag,74,9.25,11.34,2010-12-06 12:15:00,2011-06-20 14:48:00,196,0.38
20733,Gold Mini Tape Measure,918,18.73,60.46,2010-12-02 11:35:00,2011-12-08 13:50:00,371,2.47
20735,Black Mini Tape Measure,158,5.27,17.98,2010-12-08 12:08:00,2011-12-06 14:23:00,363,0.44
20748,Kensington Coffee Set,53,1.77,1.19,2010-12-05 13:42:00,2011-11-28 13:06:00,357,0.15
20749,Assorted Colour Mini Cases,1719,4.67,12.81,2010-12-01 11:21:00,2011-12-09 09:38:00,372,4.62
20750,Red Retrospot Mini Cases,1712,4.66,7.36,2010-12-01 11:49:00,2011-12-09 11:59:00,373,4.59
20751,Funky Washing Up Gloves Assorted,973,4.94,8.4,2010-12-02 15:46:00,2011-12-04 12:32:00,366,2.66
20752,Blue Polkadot Washing Up Gloves,367,3.14,3.3,2010-12-02 15:46:00,2011-11-27 14:50:00,359,1.02
20754,Retrospot Red Washing Up Gloves,1356,5.58,11.09,2010-12-01 12:43:00,2011-11-20 14:43:00,354,3.83
20755,Blue Paisley Pocket Book,292,5.73,6.29,2010-12-01 17:35:00,2011-12-07 12:26:00,370,0.79
20756,Green Fern Pocket Book,63,2.86,1.28,2011-01-20 14:13:00,2011-11-22 15:45:00,306,0.21
20757,Red Daisy Pocket Book,164,4.97,6.01,2010-12-02 14:09:00,2011-11-27 12:13:00,359,0.46
20758,Abstract Circles Pocket Book,161,3.66,2.53,2010-12-09 14:19:00,2011-12-07 13:53:00,362,0.44
20759,Chrysanthemum Pocket Book,64,3.2,2.35,2010-12-02 14:09:00,2011-12-07 13:53:00,369,0.17
20760,Garden Path Pocket Book,69,3.14,1.83,2010-12-02 14:09:00,2011-11-24 14:09:00,357,0.19
20761,Blue Paisley Sketchbook,110,2.0,1.44,2010-12-08 14:46:00,2011-12-07 12:21:00,363,0.3
20762,Green Fern Sketchbook,101,1.98,1.75,2010-12-07 15:39:00,2011-12-06 12:56:00,363,0.28
20763,Daisy Sketchbook,71,2.84,4.11,2010-12-08 12:36:00,2011-12-06 12:15:00,362,0.2
20764,Abstract Circles Sketchbook,128,2.06,1.51,2010-12-05 13:00:00,2011-12-06 14:35:00,366,0.35
20765,Chrysanthemum Sketchbook,96,1.81,1.61,2010-12-01 17:24:00,2011-12-05 17:17:00,368,0.26
20766,Garden Path Sketchbook,113,2.26,2.35,2010-12-02 15:46:00,2011-12-04 15:00:00,366,0.31
20767,Blue Paisley Journal,217,3.56,4.8,2010-12-03 11:19:00,2011-12-06 14:35:00,368,0.59
20768,Green Fern Journal,131,3.54,5.86,2010-12-01 16:57:00,2011-12-06 15:43:00,369,0.36
20769,Daisy Journal,66,2.54,2.04,2010-12-06 12:06:00,2011-12-06 15:43:00,365,0.18
20770,Abstract Circle Journal,108,3.72,6.51,2010-12-05 16:41:00,2011-11-27 11:47:00,356,0.3
20771,Chrysanthemum  Journal,71,2.54,2.1,2010-12-05 16:41:00,2011-12-06 12:56:00,365,0.19
20772,Garden Path Journal,218,4.74,7.8,2010-12-01 12:43:00,2011-12-08 19:28:00,372,0.59
20773,Blue Paisley Notebook,56,2.33,1.46,2010-12-01 12:15:00,2011-09-12 13:43:00,285,0.2
20774,Green Fern Notebook,52,2.26,1.42,2010-12-01 12:15:00,2011-09-26 10:39:00,298,0.17
20775,Daisy Notebook,64,2.91,1.9,2010-12-06 12:44:00,2011-11-30 17:37:00,359,0.18
20777,Chrysanthemum Notebook,95,2.64,2.03,2010-12-01 12:15:00,2011-11-30 17:37:00,364,0.26
20778,Garden Path Notebook,15,1.88,0.83,2010-12-09 14:19:00,2011-04-26 13:22:00,137,0.11
20780,Black Ear Muff Headphones,37,1.95,2.5,2010-12-01 16:57:00,2011-11-25 11:20:00,358,0.1
20781,Gold Ear Muff Headphones,32,1.39,0.72,2010-12-06 08:34:00,2011-12-07 14:12:00,366,0.09
20782,Camouflage Ear Muff Headphones,40,2.22,1.77,2010-12-07 09:13:00,2011-12-06 12:56:00,364,0.11
20785,Fuschia Retro Bar Stool,14,2.8,3.49,2011-01-05 15:56:00,2011-04-06 12:08:00,90,0.16
20793,Blue Tiled Tray,8,2.0,2.0,2010-12-12 12:01:00,2011-09-08 10:35:00,269,0.03
20794,Blue  Tile Hook,85,5.31,3.52,2010-12-17 12:24:00,2011-12-05 14:39:00,353,0.24
20795,Large Blue Provencal Ceramic Ball,44,5.5,3.46,2011-01-24 14:54:00,2011-12-02 13:17:00,311,0.14
20796,Small Blue Provencal Ceramic Ball,61,7.62,5.18,2011-03-01 17:32:00,2011-11-10 12:01:00,253,0.24
20798,Clear Milkshake Glass,36,7.2,5.02,2010-12-02 12:28:00,2011-01-25 13:38:00,54,0.67
20801,Large Pink Glass Sundae Dish,848,15.42,14.56,2010-12-13 09:09:00,2011-05-25 16:08:00,163,5.2
20802,Small Glass Sundae Dish Clear,648,14.73,16.84,2010-12-06 08:34:00,2011-11-28 10:31:00,357,1.82
20803,Small Pink Glass Sundae Dish,917,28.66,29.91,2010-12-13 15:46:00,2011-05-01 13:45:00,138,6.64
20816,Gold Flower Cushion Cover,8,4.0,2.83,2011-04-28 13:17:00,2011-04-28 19:53:00,0,inf
20818,Gold Teddy Bear,12,6.0,5.66,2011-01-28 15:29:00,2011-05-04 13:36:00,95,0.13
20819,Silver Teddy Bear,48,3.0,2.76,2010-12-06 15:13:00,2011-11-30 11:17:00,358,0.13
20820,Silver Looking Mirror,5,2.5,0.71,2010-12-01 11:21:00,2011-03-01 17:28:00,90,0.06
20821,Goldie Looking Mirror,16,3.2,2.59,2011-04-05 13:48:00,2011-11-23 15:53:00,232,0.07
20823,Gold Wine Goblet,164,20.5,18.94,2011-04-19 14:49:00,2011-06-09 14:23:00,50,3.28
20826,Silver Aperitif Glass,276,34.5,26.59,2010-12-13 15:12:00,2011-05-18 11:08:00,155,1.78
20827,Gold Aperitif Glass,88,44.0,39.6,2011-04-19 14:49:00,2011-04-21 12:34:00,1,88.0
20828,Glitter Butterfly Clips,1012,5.44,7.52,2010-12-02 13:32:00,2011-12-06 16:21:00,369,2.74
20829,Glitter Hanging Butterfly String,1265,7.49,21.25,2010-12-03 17:20:00,2011-12-06 14:23:00,367,3.45
20830,Silver Photo Frame,75,3.75,2.17,2010-12-12 10:48:00,2011-10-02 15:33:00,294,0.26
20831,Gold Photo Frame,169,7.04,9.49,2010-12-12 10:48:00,2011-12-09 10:20:00,361,0.47
20832,Red Flock Love Heart Photo Frame,1034,18.14,18.91,2010-12-02 12:16:00,2011-12-09 12:25:00,372,2.78
20835,French Lattice Cushion Cover,66,9.43,3.21,2011-05-03 09:05:00,2011-11-10 15:23:00,191,0.35
20836,French Paisley Cushion Cover,170,10.0,3.32,2011-05-03 10:43:00,2011-11-24 11:52:00,205,0.83
20837,French Floral Cushion Cover,141,9.4,3.38,2011-02-17 14:51:00,2011-11-20 11:06:00,275,0.51
